material_id,formula,elements,band_gap,formation_energy_per_atom,energy_above_hull,is_stable,volume_per_atom,density,nsites
mp-1273559,VO2,O-V,0.8258,-2.4209,0.1016,False,11.888,3.8618,18
mp-1182115,BrO3,Br-O,0.0,0.2275,0.3517,False,15.3629,3.4562,8
mp-755060,Cs2O,Cs-O,0.2682,-1.1219,0.0583,False,32.8452,4.7491,6
mp-32662,WO3,O-W,1.4934,-2.1811,0.0098,False,15.7582,6.1076,24
mp-778470,Mn2O3,Mn-O,0.0,-1.9351,0.0789,False,11.8012,4.4429,160
mp-998917,K2O2,K-O,2.0834,-1.2592,0.0258,False,17.9456,2.5491,12
mp-552113,V2O3,O-V,0.0,-1.8,0.7346,False,18.6767,2.6652,10
mp-1245325,V2O5,O-V,1.0739,-1.7771,0.5119,False,18.0044,2.3964,105
mp-685151,TiO,O-Ti,0.0,-2.7259,0.1821,False,11.6266,4.5608,12
mp-1403606,WO2,O-W,0.0,0.0833,2.12,False,15.3996,7.758,6
mp-2739239,TiO2,O-Ti,2.71,-3.4165,0.0915,False,11.4184,3.8715,24
mp-776583,V9O22,O-V,0.9397,-2.2176,0.094,False,12.2853,3.5337,62
mp-703459,H2O,H-O,5.5287,-1.2789,0.0011,False,9.5677,1.0422,36
mp-1181437,FeO,Fe-O,1.8861,-0.4287,1.0529,False,49.1183,1.2144,2
mp-1402558,SbO2,O-Sb,1.055,-1.6763,0.1627,False,18.1804,4.6813,12
mp-553921,Pm2O3,O-Pm,3.7666,-3.8361,0.0,True,16.6858,6.7274,40
mp-1250639,SiO2,O-Si,5.6677,-3.2579,0.0149,False,19.3852,1.7156,360
mp-1195265,SiO2,O-Si,5.7794,-3.2552,0.0177,False,19.1516,1.7365,288
mp-1243,Ga2O3,Ga-O,2.4025,-2.2576,0.0114,False,9.6971,6.4196,10
mp-715479,Mo3O8,Mo-O,0.7517,-1.6688,0.2832,False,14.5962,4.3005,11
mp-714960,VO2,O-V,0.0,-2.3189,0.2036,False,12.2727,3.7407,12
mp-1103007,UO11,O-U,0.1741,-0.8265,0.3775,False,23.5299,2.4348,12
mp-32905,Cu8O7,Cu-O,0.0,-0.8167,0.0665,False,11.5321,5.9552,15
mp-715457,V4O7,O-V,0.3578,-2.3126,0.2153,False,12.1192,3.9332,22
mp-558891,SiO2,O-Si,5.6471,-3.2597,0.0132,False,14.4413,2.3029,36
mp-759037,Fe9O10,Fe-O,1.6184,-1.5021,0.0388,False,10.8228,5.3506,19
mp-752989,Ti8O13,O-Ti,0.1114,-3.3534,0.01,False,11.5297,4.0527,21
mp-562490,SiO2,O-Si,5.5997,-3.2527,0.0202,False,17.8576,1.8624,12
mp-684697,Sc20O19,O-Sc,0.0,-3.1621,0.0603,False,11.5312,4.4423,39
mp-1767,Tm2O3,O-Tm,3.6932,-4.0901,0.0,True,14.0039,9.1509,40
mp-600002,SiO2,O-Si,5.4674,-3.2506,0.0222,False,18.7463,1.7741,24
mp-561181,SiO2,O-Si,5.6043,-3.2518,0.021,False,22.0365,1.5092,84
mp-673667,TiO,O-Ti,0.0,-2.7119,0.1961,False,10.7297,4.942,42
mp-697085,H2O,H-O,5.2923,-1.2595,0.0205,False,6.0803,1.64,12
mp-16302,Tb6O11,O-Tb,0.0047,-3.4207,0.093,False,14.2797,7.7266,68
mp-1303934,Mn2O3,Mn-O,0.0,-1.9553,0.0586,False,10.8361,4.8386,10
mp-13866,SbO2,O-Sb,0.434,-1.4977,0.3413,False,12.3575,6.8871,24
mp-1045826,Cr9O13,Cr-O,0.7342,-2.038,0.2927,False,11.6647,4.3739,22
mp-1245195,MgO,Mg-O,2.075,-2.6936,0.3447,False,12.249,2.7319,80
mp-677074,PbO,O-Pb,0.0,-1.0609,0.4091,False,22.1317,8.3733,4
mp-639734,SiO2,O-Si,5.4492,-3.2516,0.0212,False,18.7412,1.7746,48
mp-1184320,Fe3O,Fe-O,0.0,0.7702,1.511,False,12.9554,5.8811,8
mp-13119,CdO,Cd-O,0.0,-1.2669,0.0793,False,16.4681,6.4741,4
mp-352,HfO2,Hf-O,4.0165,-4.0198,0.0,True,11.3764,10.2412,12
mp-1223320,KO2,K-O,0.0,0.0093,1.0068,False,27.1406,1.45,3
mp-1245209,ZnO,O-Zn,1.2421,-1.5461,0.2448,False,13.5627,4.9836,80
mp-1244867,CoO2,Co-O,0.0,-0.4381,0.6343,False,13.5159,3.7239,90
mp-1245200,CaO,Ca-O,1.9974,-2.9645,0.3415,False,16.7095,2.7864,100
mp-557881,SiO2,O-Si,5.6379,-3.2526,0.0202,False,18.8323,1.766,36
mp-1179447,SiO2,O-Si,5.6304,-3.2495,0.0234,False,18.7777,1.7711,24
mp-684747,Bi2O3,Bi-O,1.684,-1.6043,0.0374,False,17.6873,8.7491,160
mp-562065,PO2,O-P,4.5183,-2.2641,0.0217,False,13.9448,2.4996,24
mp-25236,FeO2,Fe-O,0.0,-1.1487,0.2739,False,12.7149,3.8241,3
mp-1353031,VO2,O-V,0.6627,-2.3406,0.1818,False,12.2472,3.7485,48
mp-8377,TeO2,O-Te,3.0604,-1.4951,0.0,True,15.6151,5.6574,12
mp-553955,V2O3,O-V,0.4111,-1.8316,0.703,False,20.5947,2.417,10
mp-11725,CO2,C-O,6.4419,-1.7618,0.0069,False,14.4955,1.6805,12
mp-1245277,Fe2O3,Fe-O,0.3018,-1.3628,0.3443,False,13.6058,3.8979,80
mp-734250,KO2,K-O,0.0082,-0.9048,0.0927,False,18.8686,2.0856,12
mp-25275,MnO2,Mn-O,1.5739,-1.7465,0.0761,False,10.8274,4.4443,12
mp-972808,SiO2,O-Si,5.5882,-3.2652,0.0077,False,14.8021,2.2468,12
mp-1223784,K2O,K-O,0.0,-1.0339,0.2,False,27.8981,1.8689,3
mp-1179959,Pb2O3,O-Pb,0.9242,-1.3756,0.0272,False,15.3821,9.9834,10
mp-28338,Mn2O7,Mn-O,1.8242,-0.8804,0.3346,False,17.3142,2.3643,72
mp-1228652,B8O,B-O,2.3696,-0.6037,0.0226,False,7.3812,2.5618,27
mp-1245133,SnO,O-Sn,0.4815,-1.3909,0.2388,False,22.0618,5.0696,80
mp-754658,TeO3,O-Te,0.9785,-1.3206,0.0211,False,12.8379,5.6783,16
mp-1245063,Al2O3,Al-O,3.8597,-3.2226,0.204,False,10.7697,3.1442,100
mp-1072104,GeO2,Ge-O,1.3715,-2.0713,0.0854,False,9.7053,5.9678,6
mp-673643,Ce17O32,Ce-O,0.0,-3.9348,0.0095,False,14.4717,6.7768,49
mp-1219167,Sm2O3,O-Sm,1.7192,-3.6461,0.2158,False,17.308,6.6912,5
mp-1180500,NO2,N-O,1.5102,0.017,0.7026,False,15.321,1.6621,12
mp-545619,HgO,Hg-O,0.0,-0.4872,0.1479,False,15.0122,11.9787,2
mp-1986,ZnO,O-Zn,0.6309,-1.7828,0.0081,False,11.8407,5.7083,2
mp-796339,WO5,O-W,0.576,-0.6648,0.7958,False,16.2918,4.4819,24
mp-849511,VO2,O-V,0.5491,-2.4588,0.0636,False,11.1585,4.1142,15
mp-558366,SiO2,O-Si,1.3821,-2.4812,0.7916,False,13.9126,2.3905,24
mp-510421,CrO3,Cr-O,2.2699,-1.5112,0.0462,False,14.3883,2.8851,8
mp-1180619,Li2O2,Li-O,0.0,-1.3611,0.289,False,8.1754,2.3298,2
mp-558351,SiO2,O-Si,5.6268,-3.2527,0.0202,False,18.8755,1.7619,36
